year,striped_snake_head_fish,walking_catfish,common_climbing_perch,common_silver_barb,nile_tilapia,common_carp,snake_skin_gourami,catfish,eel,other_fish,giant_prawn,shrimps,others,value,  
2528,21.8,18,9.6,16,15.4,3.6,23.1,18.2,2.6,24.1,7.2,3.1,4.8,4134.9,0
2529,23.5,18.9,7.9,21.8,23.3,4,23,15.8,1.6,35.5,6.4,2.1,4,4004.9,0
2530,19.6,16.8,7.4,16.9,27.3,6.4,20.2,16.5,6.4,21.1,13,2,3.5,4558.4,0
2531,15.8,17.2,7.7,21.9,27.6,4.7,17.6,25.4,1.6,27.6,13.1,1.3,2.1,4382.6,0
2532,14.9,19.2,7.5,35.7,42.2,5.2,13.9,13.6,0,40.6,8,0,0,4441.2,0
2533,16.8,25.8,8.7,40.6,50.8,5.8,13.6,13.5,0,48.8,6.6,0,0,5903.7,0
2534,20,36.1,6.8,39.4,70.3,9.3,13.8,15.3,0,39.8,7.8,0.1,0,6260,0
2535,18.7,30.5,6.6,46.2,84.8,9,13.5,15,0,39.3,10.3,0.1,0.1,6477,0
2536,24.5,39.2,9.9,45,107.9,11.8,16.2,13.1,0.4,59.2,9.2,0.1,0.5,8579.1,0
2537,27,41.7,6.9,49.7,119.1,11,19.5,14.5,0.4,69.4,10.8,2.4,0.6,9702.2,0
2538,27.6,52.2,7.6,49.9,131.8,13.7,16.9,13,0.5,62.3,8.1,3.1,1,9889.6,0
2539,31.8,70.2,4.6,58.9,110.8,11.6,14.2,10.3,0.4,114,7.2,1.5,1.6,11781,0
2540,28.1,54.7,4.6,58.8,96.5,19.6,13.3,8.2,0.4,115.1,3.7,0.4,1.8,11109,0
2541,22,68.4,5.4,83.3,113.6,18.6,18.7,12.1,0,79.3,4.8,1.4,1.6,14639.4,0
2542,22,84.4,7.1,86.8,126.3,19.5,22.5,12.4,0.5,67.7,8.6,0.3,1.4,15174.4,0
2543,24.9,95.6,7.2,87.3,122.4,12.5,22.3,14.5,0.2,74,10,0.1,1.5,15458,0
2544,25.1,92,5.8,85.6,127.6,11.6,23,15.7,0.1,78.4,13.4,0.2,3.7,16329.2,0
2545,23.8,94.5,7.7,88.5,120.9,15,25.3,16.5,0.3,80.7,15.8,0.1,4.1,17278.1,0
2546,28.2,115.4,12.5,88,123.6,9.4,36.1,26,0.4,85.6,28.5,0.5,5.3,20255.3,0
2547,29.8,166.1,10.2,106.8,203.1,13.8,37.8,33.7,0.3,86.7,33,0.2,5.9,26749.1,0
2548,24.9,149,16.2,108.9,244.3,10.3,37,37.2,0.2,71.6,31.8,1.4,5.4,28015.3,0
2549,17,149.4,10.5,72.4,228.5,7.8,39.9,35.4,0.3,136.5,28.7,2.3,12.7,28630.5,0
2550,14.7,138.7,7.6,70,237.5,5.5,34.9,28.5,0.3,170.9,35.1,0.5,6.5,30354.4,0
2551,28.6,148.2,12.9,96.1,269.5,19.7,33.6,28.5,0.2,73,36.2,0.2,4.4,32016,0
2552,33.3,144.2,16.4,93.2,258.5,10.2,38.7,35.3,0.3,65.4,27.5,0.3,5.4,32410.6,0
2553,26.8,151.8,15.5,82.9,237.3,7.3,39.1,32.5,0.6,83.1,23.1,0.2,5.7,33123,0
2554,28.6,13.8,14.4,71.4,190.7,6.9,36.6,25.8,0.8,92.5,21.9,0.2,5.5,31684.8,0
2555,28.8,137,12.1,69.5,236.5,6.5,29.9,31,1.1,96.2,19.7,0.2,5.2,36264.9,0
2556,18.1,128.8,14.6,51.7,217.6,6.7,30.7,28.6,1.5,123.1,19.4,0.3,5,37024.5,0
2557,19.2,122.2,8.3,50.2,209.8,6.1,25.8,28.3,1.6,103.1,17.8,0.2,4.3,34957.9,0
2558,18.1,116.8,8.1,51.6,223.3,5.3,17.9,24.6,0.6,106.6,17.2,0.2,5.3,35216.4,0
2559,18.7,111.1,8,40.9,221.7,5,12.5,20.5,1,106.5,21.9,0.3,2.4,33933.9,0
2560,16.9,113.1,8.3,54.6,237.8,5.4,11.1,19.7,1.1,108.6,22.4,0.7,6.2,32847.2,0
